age,workclass,education.num,marital.status,occupation,sex,race,capital.gain,capital.loss,hours.per.week,income,income_prediction,mitigated_prediction
56,Private,9,Never-married,Handlers-cleaners,Male,White,0,0,24,<=50K,>50K,0
69,Private,11,Divorced,Exec-managerial,Male,White,0,0,37,>50K,>50K,1
46,Private,14,Never-married,Prof-specialty,Female,White,0,0,42,>50K,>50K,0
32,Private,14,Married-civ-spouse,Machine-op-inspct,Male,Black,0,0,40,<=50K,>50K,1
60,Private,12,Widowed,Handlers-cleaners,Female,White,60696,0,48,>50K,>50K,1
25,Self-emp-inc,11,Married-civ-spouse,Adm-clerical,Male,White,0,0,37,<=50K,<=50K,0
38,Self-emp-not-inc,12,Married-civ-spouse,Handlers-cleaners,Male,White,0,0,65,>50K,>50K,1
56,Private,13,Never-married,Transport-moving,Female,White,0,0,40,<=50K,<=50K,0
36,Private,9,Married-civ-spouse,Adm-clerical,Female,Black,0,0,5,<=50K,<=50K,0
40,Private,9,Never-married,Exec-managerial,Male,White,0,0,41,<=50K,>50K,0
28,State-gov,15,Married-civ-spouse,Machine-op-inspct,Female,White,0,0,55,>50K,>50K,1
28,State-gov,14,Never-married,Sales,Female,White,0,0,28,<=50K,<=50K,0
41,Private,8,Married-civ-spouse,Tech-support,Female,White,0,0,28,<=50K,<=50K,0
70,Private,13,Married-civ-spouse,Farming-fishing,Female,White,0,0,29,>50K,>50K,1
53,Self-emp-inc,9,Never-married,Farming-fishing,Female,White,0,0,27,>50K,<=50K,0
57,Self-emp-not-inc,6,Never-married,Handlers-cleaners,Female,White,0,0,34,<=50K,<=50K,0
41,Private,14,Widowed,Craft-repair,Male,White,0,0,50,>50K,>50K,1
20,State-gov,12,Never-married,Adm-clerical,Female,White,0,0,58,<=50K,<=50K,0
39,Private,11,Never-married,Transport-moving,Male,Black,0,0,10,<=50K,<=50K,0
70,Private,12,Divorced,Handlers-cleaners,Female,White,0,0,35,>50K,>50K,1
19,Federal-gov,7,Married-civ-spouse,Machine-op-inspct,Female,White,0,0,43,<=50K,<=50K,0
41,Private,8,Married-civ-spouse,Tech-support,Male,White,0,0,42,>50K,>50K,0
61,Self-emp-not-inc,9,Married-civ-spouse,Sales,Female,White,0,0,62,>50K,>50K,1
47,Private,10,Never-married,Tech-support,Male,White,0,0,15,<=50K,<=50K,0
55,Private,5,Married-civ-spouse,Transport-moving,Male,White,0,0,8,>50K,>50K,0
19,Private,8,Never-married,Tech-support,Female,White,0,0,64,<=50K,<=50K,0
38,Private,15,Divorced,Tech-support,Male,White,0,0,49,>50K,<=50K,1
50,Private,14,Never-married,Exec-managerial,Female,White,0,0,33,>50K,>50K,1
29,State-gov,9,Married-civ-spouse,Machine-op-inspct,Female,Black,28299,0,42,<=50K,<=50K,1
39,Private,11,Married-civ-spouse,Machine-op-inspct,Male,White,0,0,42,>50K,>50K,1
61,Self-emp-not-inc,9,Separated,Prof-specialty,Male,White,0,0,32,<=50K,<=50K,1
42,Private,5,Married-civ-spouse,Handlers-cleaners,Male,White,0,0,41,<=50K,<=50K,0
66,Federal-gov,15,Married-civ-spouse,Craft-repair,Male,White,0,0,44,>50K,>50K,1
44,Private,11,Married-civ-spouse,Prof-specialty,Female,White,0,0,64,>50K,>50K,1
59,Private,12,Married-civ-spouse,Machine-op-inspct,Male,White,0,0,51,>50K,>50K,1
45,Private,11,Married-civ-spouse,Farming-fishing,Male,White,4685,0,60,>50K,>50K,1
33,Private,15,Never-married,Handlers-cleaners,Male,White,91197,0,23,>50K,>50K,0
32,Private,8,Married-civ-spouse,Transport-moving,Male,White,0,0,35,<=50K,<=50K,0
64,Private,12,Divorced,Exec-managerial,Female,White,0,0,42,>50K,>50K,1
68,Local-gov,9,Married-civ-spouse,Sales,Male,Black,0,0,16,>50K,>50K,1
61,Local-gov,14,Never-married,Farming-fishing,Female,White,0,0,54,<=50K,<=50K,1
72,State-gov,13,Never-married,Machine-op-inspct,Male,White,0,0,47,>50K,>50K,1
69,Private,14,Married-civ-spouse,Handlers-cleaners,Female,White,0,0,35,>50K,>50K,1
74,State-gov,9,Married-civ-spouse,Machine-op-inspct,Male,White,0,0,37,>50K,>50K,1
20,Federal-gov,5,Married-civ-spouse,Adm-clerical,Male,White,0,0,55,<=50K,<=50K,0
54,Private,13,Never-married,Prof-specialty,Female,White,0,0,30,<=50K,<=50K,1
68,Private,9,Never-married,Sales,Male,White,0,0,55,>50K,<=50K,1
24,Private,10,Never-married,Sales,Female,White,0,963,36,<=50K,<=50K,0
38,Private,8,Married-civ-spouse,Craft-repair,Female,White,0,0,49,<=50K,<=50K,0
26,Private,10,Married-civ-spouse,Adm-clerical,Male,White,0,0,41,<=50K,<=50K,0
56,Private,12,Married-civ-spouse,Tech-support,Male,White,0,0,66,>50K,>50K,1
35,Self-emp-not-inc,7,Married-civ-spouse,Adm-clerical,Female,White,0,0,29,<=50K,<=50K,0
21,Private,9,Divorced,Sales,Male,White,0,0,33,<=50K,<=50K,0
42,Private,6,Married-civ-spouse,Farming-fishing,Male,Black,0,0,21,<=50K,<=50K,0
31,Self-emp-not-inc,6,Never-married,Craft-repair,Male,Asian,0,0,26,<=50K,<=50K,0
67,Federal-gov,11,Divorced,Transport-moving,Male,White,0,0,48,>50K,>50K,1
26,State-gov,14,Never-married,Farming-fishing,Male,White,0,0,59,<=50K,<=50K,0
43,Private,14,Married-civ-spouse,Handlers-cleaners,Female,White,0,0,49,>50K,>50K,1
70,Private,15,Never-married,Tech-support,Female,Asian,0,0,39,>50K,>50K,1
19,Private,14,Widowed,Prof-specialty,Female,Black,0,0,29,<=50K,<=50K,0
37,Private,10,Never-married,Transport-moving,Female,White,0,0,50,<=50K,<=50K,0
45,Private,8,Never-married,Farming-fishing,Male,White,0,0,28,<=50K,<=50K,0
64,Private,9,Never-married,Handlers-cleaners,Female,White,0,0,23,<=50K,<=50K,0
24,State-gov,5,Divorced,Machine-op-inspct,Male,White,0,0,36,<=50K,<=50K,1
61,Private,11,Married-civ-spouse,Exec-managerial,Male,White,0,0,15,>50K,>50K,1
25,Private,12,Never-married,Tech-support,Male,Black,0,0,23,<=50K,>50K,0
64,Private,13,Never-married,Prof-specialty,Male,White,0,0,62,>50K,>50K,0
52,Self-emp-not-inc,12,Widowed,Craft-repair,Female,White,0,0,21,<=50K,<=50K,1
31,Private,9,Divorced,Adm-clerical,Female,Black,0,0,25,<=50K,<=50K,0
34,Private,7,Married-civ-spouse,Exec-managerial,Male,White,80417,0,40,<=50K,<=50K,0
53,Private,14,Never-married,Tech-support,Male,White,0,1611,41,>50K,>50K,0
67,Private,15,Widowed,Transport-moving,Female,White,0,0,37,<=50K,>50K,1
57,Private,13,Married-civ-spouse,Machine-op-inspct,Male,White,0,118,15,>50K,>50K,1
21,Private,10,Married-civ-spouse,Craft-repair,Male,White,0,958,50,<=50K,>50K,0
19,Private,9,Divorced,Sales,Male,White,0,0,34,<=50K,<=50K,0
23,Self-emp-inc,7,Married-civ-spouse,Farming-fishing,Female,White,0,0,54,<=50K,<=50K,0
71,Private,10,Married-civ-spouse,Farming-fishing,Female,White,0,0,32,>50K,>50K,1
59,Self-emp-not-inc,7,Married-civ-spouse,Craft-repair,Male,White,0,0,51,<=50K,<=50K,1
21,Private,14,Never-married,Sales,Male,White,0,0,55,>50K,<=50K,0
71,Private,10,Married-civ-spouse,Farming-fishing,Female,White,0,0,34,>50K,>50K,1
46,Private,8,Married-civ-spouse,Tech-support,Male,White,0,0,50,<=50K,<=50K,0
35,Private,6,Never-married,Craft-repair,Male,White,0,0,24,<=50K,<=50K,0
43,Private,12,Separated,Craft-repair,Female,White,0,0,43,<=50K,<=50K,0
61,Private,8,Widowed,Transport-moving,Male,White,0,0,54,<=50K,>50K,0
51,Self-emp-not-inc,13,Married-civ-spouse,Sales,Male,White,0,0,46,>50K,>50K,1
27,Federal-gov,11,Separated,Transport-moving,Female,White,0,0,68,<=50K,<=50K,0
53,Self-emp-not-inc,6,Married-civ-spouse,Sales,Male,White,0,0,46,>50K,>50K,0
31,Private,8,Never-married,Transport-moving,Male,Black,0,0,35,<=50K,<=50K,0
48,Private,9,Never-married,Craft-repair,Male,White,0,0,74,<=50K,>50K,0
65,Private,7,Married-civ-spouse,Adm-clerical,Male,White,0,0,59,>50K,>50K,1
32,Private,13,Divorced,Adm-clerical,Female,White,55033,0,20,<=50K,<=50K,0
25,Private,9,Married-civ-spouse,Adm-clerical,Male,White,0,0,30,<=50K,<=50K,0
31,Private,6,Never-married,Craft-repair,Female,White,0,0,27,<=50K,<=50K,0
40,Local-gov,15,Married-civ-spouse,Farming-fishing,Male,White,0,0,47,>50K,>50K,1
74,Private,7,Never-married,Machine-op-inspct,Male,White,0,0,46,>50K,>50K,1
57,Private,13,Married-civ-spouse,Prof-specialty,Male,White,0,0,46,>50K,>50K,0
38,Private,11,Married-civ-spouse,Machine-op-inspct,Male,White,0,0,20,<=50K,<=50K,0
33,Private,6,Widowed,Adm-clerical,Male,White,29702,0,32,<=50K,<=50K,0
62,Local-gov,13,Never-married,Farming-fishing,Female,White,0,0,38,>50K,>50K,1
35,Private,8,Separated,Craft-repair,Male,Asian,0,0,18,<=50K,<=50K,0
64,State-gov,13,Married-civ-spouse,Handlers-cleaners,Female,White,0,0,29,>50K,>50K,1
70,Private,6,Married-civ-spouse,Farming-fishing,Male,White,0,0,56,>50K,>50K,1
41,Private,14,Divorced,Handlers-cleaners,Female,White,0,0,21,<=50K,<=50K,0
43,Self-emp-inc,8,Divorced,Craft-repair,Female,White,0,0,57,<=50K,<=50K,0
42,Private,9,Married-civ-spouse,Tech-support,Female,White,0,0,53,<=50K,<=50K,1
62,Private,6,Never-married,Sales,Female,White,0,0,36,<=50K,<=50K,0
58,Private,14,Married-civ-spouse,Prof-specialty,Female,White,0,0,32,>50K,>50K,1
46,Private,5,Married-civ-spouse,Machine-op-inspct,Male,White,0,0,49,<=50K,<=50K,0
32,Self-emp-not-inc,11,Married-civ-spouse,Transport-moving,Male,White,0,0,30,>50K,>50K,0
62,Self-emp-not-inc,14,Divorced,Transport-moving,Male,White,0,0,31,>50K,>50K,1
18,Self-emp-not-inc,5,Never-married,Sales,Female,Black,0,0,39,<=50K,<=50K,0
42,Private,15,Divorced,Farming-fishing,Male,White,0,0,14,<=50K,<=50K,0
24,Private,15,Divorced,Transport-moving,Female,White,0,0,22,<=50K,<=50K,0
26,Private,12,Married-civ-spouse,Exec-managerial,Male,White,0,0,36,>50K,>50K,0
41,Self-emp-not-inc,7,Never-married,Transport-moving,Male,White,0,0,45,<=50K,<=50K,0
18,State-gov,14,Never-married,Craft-repair,Male,White,0,0,30,<=50K,<=50K,0
61,Private,10,Never-married,Sales,Female,White,0,0,37,>50K,>50K,1
25,Private,11,Married-civ-spouse,Prof-specialty,Male,White,0,0,20,>50K,>50K,0
41,Private,14,Divorced,Sales,Male,White,0,0,51,>50K,>50K,1
28,Private,5,Never-married,Prof-specialty,Male,White,0,0,42,<=50K,<=50K,0
68,Private,10,Widowed,Exec-managerial,Male,White,0,0,43,>50K,>50K,1
34,Private,11,Widowed,Transport-moving,Male,Black,0,0,45,>50K,>50K,0
25,Private,10,Never-married,Sales,Male,White,0,3336,40,<=50K,<=50K,0
52,Self-emp-not-inc,8,Married-civ-spouse,Handlers-cleaners,Female,White,0,0,34,<=50K,<=50K,0
52,Self-emp-inc,5,Separated,Adm-clerical,Male,White,0,0,53,<=50K,>50K,0
50,State-gov,15,Never-married,Exec-managerial,Male,White,0,0,41,>50K,<=50K,1
